gre_score,toefl_score,university_rating,sop,lor,cgpa,research,chance_of_admit,program,application_completion,gender,admitted
335,117,5,5.0,5.0,9.56,1,0.94,Computer Science,Complete,Female,1
334,119,5,4.5,4.5,9.48,1,0.94,Computer Science,Complete,Female,1
310,106,4,1.5,2.5,8.36,0,0.57,Information Technology,Incomplete,Male,0
308,108,3,3.5,3.5,8.22,0,0.61,Computer Engineering,Incomplete,Male,0
301,106,4,2.5,3.0,8.47,0,0.57,Computer Engineering,Incomplete,Male,0
300,100,3,2.0,3.0,8.66,1,0.64,Computer Engineering,Incomplete,Male,0
323,113,3,4.0,3.0,9.32,1,0.85,Artificial Intelligence,Incomplete,Female,1
319,112,3,2.5,2.0,8.71,1,0.78,Software Engineering,Incomplete,Female,1
326,112,3,3.5,3.0,9.1,1,0.84,Data Science,Incomplete,Male,1
333,118,5,5.0,5.0,9.35,1,0.92,Computer Science,Complete,Female,1
339,114,5,4.0,4.5,9.76,1,0.96,Computer Science,Complete,Male,1
303,105,5,5.0,4.5,8.65,0,0.77,Computer Engineering,Incomplete,Male,1
309,105,5,3.5,3.5,8.56,0,0.71,Computer Engineering,Incomplete,Male,0
323,112,5,4.0,4.5,8.78,0,0.79,Software Engineering,Incomplete,Male,1
333,113,5,4.0,4.0,9.28,1,0.89,Computer Science,Complete,Female,1
314,109,4,3.5,4.0,8.77,1,0.82,Information Technology,Complete,Male,1
312,103,3,5.0,4.0,8.45,0,0.76,Information Technology,Incomplete,Female,1
316,100,2,1.5,3.0,8.16,1,0.71,Computer Engineering,Incomplete,Female,0
326,116,2,4.5,3.0,9.08,1,0.8,Data Science,Incomplete,Male,1
318,109,1,3.5,3.5,9.12,0,0.78,Software Engineering,Incomplete,Female,1
329,110,2,4.0,3.0,9.15,1,0.84,Data Science,Incomplete,Female,1
332,118,2,4.5,3.5,9.36,1,0.9,Computer Science,Complete,Male,1
331,115,5,4.0,3.5,9.44,1,0.92,Computer Science,Complete,Male,1
340,120,4,4.5,4.0,9.92,1,0.97,Computer Science,Complete,Male,1
325,112,2,3.0,3.5,8.96,1,0.8,Artificial Intelligence,Incomplete,Male,1
320,113,2,2.0,2.5,8.64,1,0.81,Software Engineering,Incomplete,Male,1
315,105,3,2.0,2.5,8.48,0,0.75,Information Technology,Incomplete,Female,1
326,114,3,3.0,3.0,9.11,1,0.83,Data Science,Incomplete,Female,1
339,116,4,4.0,3.5,9.8,1,0.96,Computer Science,Complete,Male,1
311,106,2,3.5,3.0,8.26,1,0.79,Information Technology,Incomplete,Male,1
334,114,4,4.0,4.0,9.43,1,0.93,Computer Science,Complete,Female,1
332,116,5,5.0,5.0,9.28,1,0.94,Computer Science,Complete,Male,1
321,112,5,5.0,5.0,9.06,1,0.86,Artificial Intelligence,Complete,Male,1
324,105,3,3.0,4.0,8.75,0,0.79,Software Engineering,Incomplete,Male,1
326,108,3,3.0,3.5,8.89,0,0.8,Artificial Intelligence,Incomplete,Female,1
312,109,3,3.0,3.0,8.69,0,0.77,Information Technology,Incomplete,Male,1
315,105,3,2.0,2.5,8.34,0,0.7,Information Technology,Incomplete,Female,0
309,104,2,2.0,2.5,8.26,0,0.65,Computer Engineering,Incomplete,Female,0
306,106,2,2.0,2.5,8.14,0,0.61,Computer Engineering,Incomplete,Male,0
297,100,1,1.5,2.0,7.9,0,0.52,Computer Engineering,Incomplete,Female,0
315,103,1,1.5,2.0,7.86,0,0.57,Computer Engineering,Incomplete,Male,0
298,99,1,1.5,3.0,7.46,0,0.53,Computer Engineering,Incomplete,Female,0
318,109,3,3.0,3.0,8.5,0,0.67,Software Engineering,Incomplete,Female,0
317,105,3,3.5,3.0,8.56,0,0.68,Software Engineering,Incomplete,Female,0
329,111,4,4.5,4.0,9.01,1,0.81,Data Science,Complete,Male,1
322,110,5,4.5,4.0,8.97,0,0.78,Artificial Intelligence,Incomplete,Female,1
302,102,3,3.5,5.0,8.33,0,0.65,Computer Engineering,Incomplete,Male,0
313,102,3,2.0,3.0,8.27,0,0.64,Information Technology,Incomplete,Male,0
293,97,2,2.0,4.0,7.8,1,0.64,Computer Engineering,Incomplete,Male,0
311,99,2,2.5,3.0,7.98,0,0.65,Computer Engineering,Incomplete,Female,0
312,101,2,2.5,3.5,8.04,1,0.68,Computer Engineering,Incomplete,Female,0
334,117,5,4.0,4.5,9.07,1,0.89,Data Science,Complete,Male,1
322,110,4,4.0,5.0,9.13,1,0.86,Artificial Intelligence,Complete,Female,1
323,113,4,4.0,4.5,9.23,1,0.89,Artificial Intelligence,Complete,Male,1
321,111,4,4.0,4.0,8.97,1,0.87,Artificial Intelligence,Complete,Female,1
320,111,4,4.5,3.5,8.87,1,0.85,Artificial Intelligence,Complete,Male,1
329,119,4,4.5,4.5,9.16,1,0.9,Data Science,Complete,Female,1
319,110,3,3.5,3.5,9.04,0,0.82,Software Engineering,Incomplete,Male,1
309,108,3,2.5,3.0,8.12,0,0.72,Computer Engineering,Incomplete,Female,0
307,102,3,3.0,3.0,8.27,0,0.73,Computer Engineering,Incomplete,Male,1
300,104,3,3.5,3.0,8.16,0,0.71,Computer Engineering,Incomplete,Male,0
305,107,2,2.5,2.5,8.42,0,0.71,Computer Engineering,Incomplete,Male,0
299,100,2,3.0,3.5,7.88,0,0.68,Computer Engineering,Incomplete,Female,0
314,110,3,4.0,4.0,8.8,0,0.75,Information Technology,Incomplete,Female,1
316,106,2,2.5,4.0,8.32,0,0.72,Information Technology,Incomplete,Male,0
327,113,4,4.5,4.5,9.11,1,0.89,Data Science,Complete,Female,1
317,107,3,3.5,3.0,8.68,1,0.84,Software Engineering,Incomplete,Female,1
335,118,5,4.5,3.5,9.44,1,0.93,Computer Science,Complete,Female,1
331,115,5,4.5,3.5,9.36,1,0.93,Computer Science,Complete,Female,1
324,112,5,5.0,5.0,9.08,1,0.88,Artificial Intelligence,Complete,Male,1
324,111,5,4.5,4.0,9.16,1,0.9,Artificial Intelligence,Complete,Male,1
323,110,5,4.0,5.0,8.98,1,0.87,Artificial Intelligence,Complete,Female,1
322,114,5,4.5,4.0,8.94,1,0.86,Artificial Intelligence,Complete,Female,1
336,118,5,4.5,5.0,9.53,1,0.94,Computer Science,Complete,Female,1
316,109,3,3.5,3.0,8.76,0,0.77,Software Engineering,Incomplete,Male,1
307,107,2,3.0,3.5,8.52,1,0.78,Computer Engineering,Incomplete,Male,1
306,105,2,3.0,2.5,8.26,0,0.73,Computer Engineering,Incomplete,Female,1
310,106,2,3.5,2.5,8.33,0,0.73,Information Technology,Incomplete,Female,1
311,104,3,4.5,4.5,8.43,0,0.7,Information Technology,Incomplete,Female,0
313,107,3,4.0,4.5,8.69,0,0.72,Information Technology,Incomplete,Female,0
317,103,3,2.5,3.0,8.54,1,0.73,Software Engineering,Incomplete,Female,1
315,110,2,3.5,3.0,8.46,1,0.72,Information Technology,Incomplete,Male,0
340,120,5,4.5,4.5,9.91,1,0.97,Computer Science,Complete,Male,1
334,120,5,4.0,5.0,9.87,1,0.97,Computer Science,Complete,Female,1
298,105,3,3.5,4.0,8.54,0,0.69,Computer Engineering,Incomplete,Female,0
295,99,2,2.5,3.0,7.65,0,0.57,Computer Engineering,Incomplete,Male,0
315,99,2,3.5,3.0,7.89,0,0.63,Computer Engineering,Incomplete,Male,0
310,102,3,3.5,4.0,8.02,1,0.66,Computer Engineering,Complete,Female,0
305,106,2,3.0,3.0,8.16,0,0.64,Computer Engineering,Incomplete,Male,0
301,104,3,3.5,4.0,8.12,1,0.68,Computer Engineering,Complete,Male,0
325,108,4,4.5,4.0,9.06,1,0.79,Data Science,Complete,Female,1
328,110,4,5.0,4.0,9.14,1,0.82,Data Science,Complete,Female,1
338,120,4,5.0,5.0,9.66,1,0.95,Computer Science,Complete,Female,1
333,119,5,5.0,4.5,9.78,1,0.96,Computer Science,Complete,Male,1
331,117,4,4.5,5.0,9.42,1,0.94,Computer Science,Complete,Female,1
330,116,5,5.0,4.5,9.36,1,0.93,Computer Science,Complete,Male,1
322,112,4,4.5,4.5,9.26,1,0.91,Artificial Intelligence,Complete,Male,1
321,109,4,4.0,4.0,9.13,1,0.85,Artificial Intelligence,Complete,Female,1
324,110,4,3.0,3.5,8.97,1,0.84,Artificial Intelligence,Incomplete,Female,1
312,104,3,3.5,3.5,8.42,0,0.74,Information Technology,Incomplete,Female,1
313,103,3,4.0,4.0,8.75,0,0.76,Information Technology,Incomplete,Female,1
316,110,3,3.5,4.0,8.56,0,0.75,Software Engineering,Incomplete,Female,1
324,113,4,4.5,4.0,8.79,0,0.76,Software Engineering,Incomplete,Male,1
308,109,2,3.0,4.0,8.45,0,0.71,Computer Engineering,Incomplete,Male,0
305,105,2,3.0,2.0,8.23,0,0.67,Computer Engineering,Incomplete,Male,0
296,99,2,2.5,2.5,8.03,0,0.61,Computer Engineering,Incomplete,Male,0
306,110,2,3.5,4.0,8.45,0,0.63,Computer Engineering,Incomplete,Female,0
312,110,2,3.5,3.0,8.53,0,0.64,Information Technology,Incomplete,Male,0
318,112,3,4.0,3.5,8.67,0,0.71,Software Engineering,Incomplete,Female,0
324,111,4,3.0,3.0,9.01,1,0.82,Artificial Intelligence,Incomplete,Female,1
313,104,3,4.0,4.5,8.65,0,0.73,Information Technology,Incomplete,Female,1
319,106,3,3.5,2.5,8.33,1,0.74,Information Technology,Incomplete,Female,1
312,107,2,2.5,3.5,8.27,0,0.69,Information Technology,Incomplete,Female,0
304,100,2,2.5,3.5,8.07,0,0.64,Computer Engineering,Incomplete,Male,0
330,113,5,5.0,4.0,9.31,1,0.91,Computer Science,Complete,Male,1
326,111,5,4.5,4.0,9.23,1,0.88,Data Science,Complete,Female,1
325,112,4,4.0,4.5,9.17,1,0.85,Data Science,Complete,Male,1
329,114,5,4.5,5.0,9.19,1,0.86,Data Science,Complete,Male,1
310,104,3,2.0,3.5,8.37,0,0.7,Information Technology,Incomplete,Female,0
299,100,1,1.5,2.0,7.89,0,0.59,Computer Engineering,Incomplete,Male,0
296,101,1,2.5,3.0,7.68,0,0.6,Computer Engineering,Incomplete,Female,0
317,103,2,2.5,2.0,8.15,0,0.65,Computer Engineering,Incomplete,Female,0
324,115,3,3.5,3.0,8.76,1,0.7,Software Engineering,Incomplete,Female,0
325,114,3,3.5,3.0,9.04,1,0.76,Data Science,Incomplete,Male,1
314,107,2,2.5,4.0,8.56,0,0.63,Information Technology,Incomplete,Male,0
328,110,4,4.0,2.5,9.02,1,0.81,Data Science,Incomplete,Female,1
316,105,3,3.0,3.5,8.73,0,0.72,Software Engineering,Incomplete,Male,0
311,104,2,2.5,3.5,8.48,0,0.71,Information Technology,Incomplete,Female,0
324,110,3,3.5,4.0,8.87,1,0.8,Artificial Intelligence,Complete,Female,1
321,111,3,3.5,4.0,8.83,1,0.77,Artificial Intelligence,Complete,Female,1
320,104,3,3.0,2.5,8.57,1,0.74,Software Engineering,Incomplete,Male,1
316,99,2,2.5,3.0,9.0,0,0.7,Software Engineering,Incomplete,Male,0
318,100,2,2.5,3.5,8.54,1,0.71,Software Engineering,Incomplete,Female,0
335,115,4,4.5,4.5,9.68,1,0.93,Computer Science,Complete,Male,1
321,114,4,4.0,5.0,9.12,0,0.85,Artificial Intelligence,Incomplete,Male,1
307,110,4,4.0,4.5,8.37,0,0.79,Computer Engineering,Incomplete,Female,1
309,99,3,4.0,4.0,8.56,0,0.76,Computer Engineering,Incomplete,Female,1
324,100,3,4.0,5.0,8.64,1,0.78,Software Engineering,Complete,Female,1
326,102,4,5.0,5.0,8.76,1,0.77,Software Engineering,Complete,Female,1
331,119,4,5.0,4.5,9.34,1,0.9,Computer Science,Complete,Male,1
327,108,5,5.0,3.5,9.13,1,0.87,Data Science,Complete,Female,1
312,104,3,3.5,4.0,8.09,0,0.71,Computer Engineering,Incomplete,Female,0
308,103,2,2.5,4.0,8.36,1,0.7,Computer Engineering,Incomplete,Male,0
324,111,3,2.5,1.5,8.79,1,0.7,Software Engineering,Incomplete,Female,0
325,110,2,3.0,2.5,8.76,1,0.75,Software Engineering,Incomplete,Female,1
313,102,3,2.5,2.5,8.68,0,0.71,Information Technology,Incomplete,Female,0
312,105,2,2.0,2.5,8.45,0,0.72,Information Technology,Incomplete,Female,0
314,107,3,3.0,3.5,8.17,1,0.73,Computer Engineering,Incomplete,Female,1
327,113,4,4.5,5.0,9.14,0,0.83,Data Science,Incomplete,Male,1
308,108,4,4.5,5.0,8.34,0,0.77,Computer Engineering,Incomplete,Male,1
306,105,2,2.5,3.0,8.22,1,0.72,Computer Engineering,Incomplete,Female,0
299,96,2,1.5,2.0,7.86,0,0.54,Computer Engineering,Incomplete,Female,0
294,95,1,1.5,1.5,7.64,0,0.49,Computer Engineering,Incomplete,Female,0
312,99,1,1.0,1.5,8.01,1,0.52,Computer Engineering,Incomplete,Female,0
315,100,1,2.0,2.5,7.95,0,0.58,Computer Engineering,Incomplete,Female,0
322,110,3,3.5,3.0,8.96,1,0.78,Artificial Intelligence,Incomplete,Female,1
329,113,5,5.0,4.5,9.45,1,0.89,Data Science,Complete,Female,1
320,101,2,2.5,3.0,8.62,0,0.7,Software Engineering,Incomplete,Female,0
308,103,2,3.0,3.5,8.49,0,0.66,Computer Engineering,Incomplete,Female,0
304,102,2,3.0,4.0,8.73,0,0.67,Computer Engineering,Incomplete,Female,0
311,102,3,4.5,4.0,8.64,1,0.68,Information Technology,Complete,Female,0
317,110,3,4.0,4.5,9.11,1,0.8,Software Engineering,Complete,Male,1
312,106,3,4.0,3.5,8.79,1,0.81,Information Technology,Complete,Male,1
321,111,3,2.5,3.0,8.9,1,0.8,Artificial Intelligence,Incomplete,Male,1
340,112,4,5.0,4.5,9.66,1,0.94,Computer Science,Complete,Female,1
331,116,5,4.0,4.0,9.26,1,0.93,Computer Science,Complete,Male,1
336,118,5,4.5,4.0,9.19,1,0.92,Data Science,Complete,Male,1
324,114,5,5.0,4.5,9.08,1,0.89,Artificial Intelligence,Complete,Female,1
314,104,4,5.0,5.0,9.02,0,0.82,Information Technology,Incomplete,Male,1
313,109,3,4.0,3.5,9.0,0,0.79,Information Technology,Incomplete,Female,1
307,105,2,2.5,3.0,7.65,0,0.58,Computer Engineering,Incomplete,Male,0
300,102,2,1.5,2.0,7.87,0,0.56,Computer Engineering,Incomplete,Male,0
302,99,2,1.0,2.0,7.97,0,0.56,Computer Engineering,Incomplete,Female,0
312,98,1,3.5,3.0,8.18,1,0.64,Computer Engineering,Incomplete,Male,0
316,101,2,2.5,2.0,8.32,1,0.61,Information Technology,Incomplete,Male,0
317,100,2,3.0,2.5,8.57,0,0.68,Software Engineering,Incomplete,Female,0
310,107,3,3.5,3.5,8.67,0,0.76,Information Technology,Incomplete,Female,1
320,120,3,4.0,4.5,9.11,0,0.86,Artificial Intelligence,Incomplete,Male,1
330,114,3,4.5,4.5,9.24,1,0.9,Computer Science,Complete,Female,1
305,112,3,3.0,3.5,8.65,0,0.71,Computer Engineering,Incomplete,Male,0
309,106,2,2.5,2.5,8.0,0,0.62,Computer Engineering,Incomplete,Male,0
319,108,2,2.5,3.0,8.76,0,0.66,Software Engineering,Incomplete,Female,0
322,105,2,3.0,3.0,8.45,1,0.65,Information Technology,Incomplete,Female,0
323,107,3,3.5,3.5,8.55,1,0.73,Software Engineering,Complete,Female,1
313,106,2,2.5,2.0,8.43,0,0.62,Information Technology,Incomplete,Female,0
321,109,3,3.5,3.5,8.8,1,0.74,Artificial Intelligence,Complete,Female,1
323,110,3,4.0,3.5,9.1,1,0.79,Artificial Intelligence,Complete,Female,1
325,112,4,4.0,4.0,9.0,1,0.8,Data Science,Complete,Male,1
312,108,3,3.5,3.0,8.53,0,0.69,Information Technology,Incomplete,Female,0
308,110,4,3.5,3.0,8.6,0,0.7,Computer Engineering,Incomplete,Male,0
320,104,3,3.0,3.5,8.74,1,0.76,Software Engineering,Incomplete,Male,1
328,108,4,4.5,4.0,9.18,1,0.84,Data Science,Complete,Male,1
311,107,4,4.5,4.5,9.0,1,0.78,Information Technology,Complete,Male,1
301,100,3,3.5,3.0,8.04,0,0.67,Computer Engineering,Incomplete,Female,0
305,105,2,3.0,4.0,8.13,0,0.66,Computer Engineering,Incomplete,Female,0
308,104,2,2.5,3.0,8.07,0,0.65,Computer Engineering,Incomplete,Female,0
298,101,2,1.5,2.0,7.86,0,0.54,Computer Engineering,Incomplete,Male,0
300,99,1,1.0,2.5,8.01,0,0.58,Computer Engineering,Incomplete,Male,0
324,111,3,2.5,2.0,8.8,1,0.79,Artificial Intelligence,Incomplete,Male,1
327,113,4,3.5,3.0,8.69,1,0.8,Software Engineering,Incomplete,Male,1
317,106,3,4.0,3.5,8.5,1,0.75,Software Engineering,Complete,Female,1
323,104,3,4.0,4.0,8.44,1,0.73,Information Technology,Complete,Female,1
314,107,2,2.5,4.0,8.27,0,0.72,Information Technology,Incomplete,Female,0
305,102,2,2.0,2.5,8.18,0,0.62,Computer Engineering,Incomplete,Male,0
315,104,3,3.0,2.5,8.33,0,0.67,Information Technology,Incomplete,Female,0
326,116,3,3.5,4.0,9.14,1,0.81,Data Science,Complete,Female,1
299,100,3,2.0,2.0,8.02,0,0.63,Computer Engineering,Incomplete,Female,0
295,101,2,2.5,2.0,7.86,0,0.69,Computer Engineering,Incomplete,Female,0
324,112,4,4.0,3.5,8.77,1,0.8,Software Engineering,Complete,Male,1
297,96,2,2.5,1.5,7.89,0,0.43,Computer Engineering,Incomplete,Male,0
327,113,3,3.5,3.0,8.66,1,0.8,Software Engineering,Incomplete,Male,1
311,105,2,3.0,2.0,8.12,1,0.73,Computer Engineering,Incomplete,Female,1
308,106,3,3.5,2.5,8.21,1,0.75,Computer Engineering,Incomplete,Male,1
319,108,3,3.0,3.5,8.54,1,0.71,Software Engineering,Incomplete,Male,0
